NameRank,MaleName,MaleCount,MalePer,FemaleName,FemaleCount,FemalePer
1,Michael,"68690",3.70,Jennifer,"58381",3.28
2,Christopher,"49089",2.65,Amanda,"35813",2.01
3,Jason,"48170",2.60,Jessica,"33925",1.91
4,David,"41900",2.26,Melissa,"31637",1.78
5,James,"39323",2.12,Sarah,"25757",1.45
6,Matthew,"37843",2.04,Heather,"19973",1.12
7,Joshua,"36060",1.94,Nicole,"19921",1.12
8,John,"35280",1.90,Amy,"19834",1.11
9,Robert,"34273",1.85,Elizabeth,"19530",1.10
10,Joseph,"30189",1.63,Michelle,"19122",1.07
11,Daniel,"29893",1.61,Kimberly,"18499",1.04
12,Brian,"28719",1.55,Angela,"17968",1.01
13,Justin,"26763",1.44,Stephanie,"17842",1.00
14,William,"25648",1.38,Tiffany,"16232",0.91
15,Ryan,"24804",1.34,Christina,"16142",0.91
16,Eric,"22624",1.22,Lisa,"15666",0.88
17,Nicholas,"21026",1.13,Rebecca,"15280",0.86
18,Jeremy,"19897",1.07,Crystal,"14253",0.80
19,Andrew,"19730",1.06,Kelly,"13715",0.77
20,Timothy,"19152",1.03,Erin,"13430",0.75
