NameRank,MaleName,MaleCount,MalePer,FemaleName,FemaleCount,FemalePer
1,Jacob,"34490",1.65,Emily,"25957",1.30
2,Michael,"32042",1.53,Hannah,"23085",1.16
3,Matthew,"28576",1.37,Madison,"19968",1.00
4,Joshua,"27538",1.32,Ashley,"17998",0.90
5,Christopher,"24936",1.19,Sarah,"17712",0.89
6,Nicholas,"24653",1.18,Alexis,"17631",0.88
7,Andrew,"23654",1.13,Samantha,"17265",0.87
8,Joseph,"22842",1.09,Jessica,"15711",0.79
9,Daniel,"22334",1.07,Elizabeth,"15113",0.76
10,Tyler,"21505",1.03,Taylor,"15079",0.76
11,William,"20667",0.99,Lauren,"14175",0.71
12,Brandon,"20336",0.97,Alyssa,"13553",0.68
13,Ryan,"20267",0.97,Kayla,"13312",0.67
14,John,"20109",0.96,Abigail,"13093",0.66
15,Zachary,"19851",0.95,Brianna,"12880",0.65
16,David,"19785",0.95,Olivia,"12854",0.64
17,Anthony,"19654",0.94,Emma,"12559",0.63
18,James,"17990",0.86,Megan,"11436",0.57
19,Justin,"17784",0.85,Grace,"11284",0.57
20,Alexander,"17290",0.83,Victoria,"10926",0.55
